parameter,value,CV,se_sa,rse_sa
log10beta_pop,-7.30607420630409,,0.00316770453107277,0.0433571360162137
log10pi_pop,2.73846784020757,,0.00970058796293666,0.354234138539358
log10rho_pop,-1.62033020291191,,0.033252821478276,2.05222499824523
log10phi_pop,-5.29266529735545,,0.0652031627455822,1.23195326139671
beta_log10phi_tCat_LineageBroad_G_Omicron,0.323548693982717,,0.0737604557632349,22.7973276156
beta_log10phi_tCat_LineageBroad_G_None,1.52549534775414,,0.134084582078065,8.78957659723227
delta_pop,1.37931300333376,,0.0264320624023624,1.91632083062197
m_pop,16.3608670452505,,0.542124383099533,3.31354311235547
tau_pop,15.9489447947577,,0.453227478787673,2.8417395923061
beta_tau_tCat_LineageBroad_G_Omicron,-0.364109364644388,,0.0353014091720499,9.69527636470639
beta_tau_tCat_LineageBroad_G_None,-0.422382733980479,,0.0613772484557307,14.5311925696677
beta_tau_tCat_VaccStatus_G_Boosted_Second_dose,-0.141254868951679,,0.0315976582727256,22.3692524776153
tzero_pop,2.07531538188927,,0.0280300743495176,1.35064167085777
Vzero_pop,97,,,
omega_log10beta,0.046876927897842,-0.641615819579193,0.00305418066957239,6.51531746326959
omega_log10pi,0.316064641235601,11.5416597775946,0.00719895046514627,2.27768295656331
omega_log10rho,0.972320028106788,-60.007523550411,0.0291271695488458,2.99563607730672
omega_log10phi,1.19884097059573,-22.6509877961629,0.0283548685423625,2.36519014930498
omega_delta,0.564901780099626,61.3113528321542,0.0150360668265437,2.66171347944628
omega_m,0.50245417507117,53.5899489202749,0.026053974417225,5.18534340241766
omega_tau,0.461211971006922,48.6861253743688,0.0123041891230667,2.66779483112811
omega_tzero,0.462755980191296,41.3539588783044,0.0125765511843607,2.7177501151172
corr_log10phi_delta,-0.243698924118666,,0.0334550179488496,13.7280121649446
corr_log10pi_delta,0.326865932791018,,0.030033543567056,9.18833703794331
corr_log10pi_log10phi,0.184842082321001,,0.0310786929219719,16.8136457519451
corr_tau_log10rho,-0.538222923548515,,0.0292550187097416,5.43548359420715
a,0.4,,,
